parties,num_txs,setup,preprocessing,prover,verifier,mem
16,2,18661294,30514024,46043568.0,2818,30076136
16,4,39724382,61411766,89384399.0,2822,60807374
16,6,39352499,61771883,91347233.0,2792,56964820
16,8,73183741,123269902,181982127.0,2819,115023274
16,16,142214758,246936254,369073023.0,2795,212099828
8,2,18705653,30671709,46468900.0,2786,30074602
8,4,39714444,61572018,88944030.0,2808,62652326
8,6,40315602,61407115,90057899.0,2814,60030252
8,8,73083235,123420054,180786384.0,2808,115226164
8,16,142540291,246364959,366176297.0,2828,210942932
4,2,17655857,30478020,44896777.0,2839,28322512
4,4,39449915,61437812,88763527.0,2827,62716638
4,6,39302659,61617234,88790299.0,2805,57158384
4,8,72294269,123296632,180520824.0,2807,119096120
4,16,140210232,246825152,364387416.0,2880,218298828
2,2,17880333,30522432,45218315.0,2806,29287802
2,4,39400856,61674789,88672718.0,2751,62840670
2,6,39353951,61628767,87189334.0,2750,59031012
2,8,72337992,123093703,178404612.0,2785,113454548
2,16,140733412,245870851,362906000.0,2791,217269188
